记录类型,学年,学期,课程或考试名称,课程性质,学分,绩点,成绩
课程,2025-2026学年,第1学期,文献检索与学术写作（英语）,必修,1.0,4.5,94
课程,2025-2026学年,第1学期,地理信息系统原理与应用,跨选,2.0,5.0,95
课程,2025-2026学年,第1学期,软件工程实践,实践,3.0,5.0,96
课程,2025-2026学年,第1学期,编译技术,主干,3.0,4.5,93
课程,2025-2026学年,第1学期,计算机图形学（双语）,主干,2.0,4.0,89
课程,2025-2026学年,第1学期,软件工程,主干,3.0,3.5,82
课程,2025-2026学年,第1学期,算法导论,主干,3.0,4.0,87
课程,2025-2026学年,第1学期,Java语言及网络编程,专选,2.0,5.0,95
课程,2025-2026学年,第1学期,智能机器人创新设计与制作,专选,2.0,5.0,96
课程,2025-2026学年,第2学期,网球（6）,必修,0.5,3.0,78
课程,2025-2026学年,第2学期,形势与政策（3）,必修,0.5,3.0,合格
课程,2025-2026学年,第2学期,智慧能源概论,跨选,2.0,5.0,99
课程,2025-2026学年,第2学期,云计算综合实训,实践,2.0,5.0,95
课程,2025-2026学年,第2学期,量子计算（英文）,拓展,2.0,5.0,97
课程,2025-2026学年,第2学期,图像处理与计算机视觉,主干,2.0,4.0,87
课程,2025-2026学年,第2学期,虚拟现实,主干,2.0,5.0,97
课程,2025-2026学年,第2学期,云计算技术,主干,2.5,4.5,93
课程,2025-2026学年,第2学期,Linux操作系统,专选,2.0,5.0,96
课程,2025-2026学年,第2学期,游戏设计与开发,专选,2.0,4.5,93
等级考试,,,CET4（英语）,,,,556
等级考试,,,CET6（英语）,,,,490
